c1,f1,f1x,c2,f2,f2x,f3,f4,f5,f6,limit
B,41.1252995533289,4.23480692007315,Y,20.454774004436366,4.328001728137181,12.879574070288538,24.92308933126774,22.517817078653486,14.069565419830628,24.567911185826603
C,31.685674814672787,5.149554779012764,Y,32.72910264450402,3.033685159175907,18.04431220385441,21.299256269784713,29.75070918858504,8.057660596328029,34.031297202621445
B,60.37934976605135,7.702317005077905,X,20.36060261036694,3.27671877882749,18.14694456061013,19.988763831847606,28.088794349465232,14.451130061374869,33.015004326477644
B,65.8805281320223,3.892474014709337,X,32.07325838655313,3.56906173555012,17.630146195163054,20.608119433210135,28.1702037845609,10.705094840628593,33.603924347633
B,50.93332390251936,6.731999656126173,X,36.85180994226975,4.337183688696665,12.958978620906457,23.10070873301485,27.17487026630732,8.893691984010061,28.258233927997523
A,71.26539090977757,6.822251027444,X,28.085916051022306,2.9060729191156036,10.223467989766416,20.14654200075732,21.006278767001398,7.520911061119168,36.15720339738713
B,41.803848190888544,2.7309939040921645,Y,32.652830501245056,2.6133197601316063,16.374406090794544,19.75070275939047,27.52488446765622,6.277060265401432,30.472566025522774
A,52.82383301453748,5.517057946802001,Y,37.29968271806988,5.680804181777847,10.185276067841748,20.69791296432094,25.302286561024335,12.261336748699394,31.231736192483748
B,65.38781165392511,3.197171927140199,X,32.18186868093291,2.7103893145855524,13.092608448998341,23.894665004779604,28.677734819537115,7.288648798351204,32.63497868840838
A,58.63900405129264,7.7351258919990045,Y,26.7239590720037,3.541298416606079,13.488326377093244,22.102118182456337,25.822964841517333,13.704797994898009,30.327101644798095
A,63.40106629665391,3.5963876952606184,X,34.506692399855055,4.056193414365903,13.414655578033518,17.94128885353402,26.975121452534708,8.332879921225105,26.559684446522795
C,52.16292949214845,5.769386748977281,Y,23.945169900411997,2.941024584257865,16.548222882314004,19.507037762247364,25.052798128945195,14.422543852750513,35.257760214455764
A,38.58652069956141,2.211447017026978,X,38.73422740333397,3.3283119408251745,11.25746429416133,20.64407397995647,25.633372321301547,12.326009139277897,22.71469864178545
C,55.447198533776636,1.7317003195112264,X,28.09474873022821,1.7972989217921276,18.068392969851672,19.965728381806695,25.587575147229938,6.999005812218675,33.82002114615747
C,43.267254116426784,10.867471073157947,Y,24.571688773362514,3.3048098795331016,10.35729926071697,24.019575874054944,20.880419493857797,8.954463030943156,26.935774947250337
C,61.842097892703066,4.18261242813538,X,35.193307552483084,2.4536882068043084,16.0506389257564,24.60310245729379,21.45681060130513,14.31189925420027,48.628296514820775
A,45.774799012161935,3.9962384249699365,Y,19.96378027728785,4.447552068756844,10.772727434056748,22.016524296432394,20.522270201169068,12.72101784935817,29.181785876114304
A,59.329151616745726,9.289055186075409,Y,26.352330491295646,1.280885668266448,18.34607818334775,17.72688654913726,28.45097169749692,10.007636827182726,38.016803073365494
B,40.59760865784112,4.402665279591593,Y,24.51083161261867,2.8527238216096182,12.010849342662809,21.352156785412546,28.46462080311728,13.655772318862125,28.312784072239218
C,53.58835228380317,3.6316719167621683,Y,26.662895675496028,2.079195988182257,14.170964994635739,17.454672327654357,25.094726950547752,11.027018228878795,29.09527317667824
